ARCIMRowid,ARCIMCode,ARCIMDesc
10000||1,CL02653,球囊(封堵球囊)15200
10001||1,CL00453,球囊(神经介入扩张球囊)3139.5
10002||1,32#102,球囊(神经介入扩张球囊)10400
10003||1,32#114,球囊(神经介入扩张球囊)(SBR040020135)
10004||1,32#159,球囊(血管)(4*8)
10005||1,310902006#4080580,圈套器2960
10006||1,CL00310,人工瓣膜3800
10007||1,CL00325,人工股骨头17000
10008||1,CL00326,人工股骨头15000
10009||1,CL02062,人工股骨头13800
1000||1,XY00710,骨化三醇胶丸(盖三淳)[0.25ug*10片]
10010||1,CL00433,人工股骨头(半髋)12800
10011||1,CL00596,人工股骨头(半髋)35000
10012||1,CL00621,人工股骨头(半髋)9800
10013||1,CL00657,人工股骨头(半髋)(48*)
10014||1,CL00669,人工股骨头(半髋)16000
10015||1,CL00762,人工股骨头(半髋)13800
10016||1,CL00980,人工股骨头(半髋)8700
10017||1,CL02064,人工股骨头(半髋)8000
10018||1,CL02365,人工股骨头(半髋髋关节)(1#)
10019||1,CL01463,人工股骨头(全髋)6800
1001||1,XY00713,骨肽粉针(西若非)[10mg]
10020||1,CL02306,人工股骨头(全髋髋关节)(44*)
10021||1,CL02409,人工股骨头(全髋髋关节)(43mm)
10022||1,CL02431,人工股骨头(全髋髋关节)(46)
10023||1,CL02297,人工股骨头半髋髋关节)(股骨加长柄3#*)
10024||1,CL00190,人工关节16000
10025||1,CL00195,人工关节17500
10026||1,CL00239,人工关节26800
10027||1,CL01173,人工关节28000
10028||1,CL01498,人工关节6800
10029||1,CL01718,人工关节13000
1002||1,XY01723,小牛血去蛋白提取物粉针(欧瑞)[400mg]
10030||1,CL02171,人工关节(半髋)12000
10031||1,CL02539,人工关节(半髋)(3#)11500
10032||1,CL02672,人工关节(半髋)(3#)
10033||1,331507#68,人工关节(半髋)(1#20/0双动头42#)
10034||1,CL02724,人工关节(半髋)13000
10035||1,331507#69,人工关节(半髋)(1#44#28#)
10036||1,CL00434,人工关节(全髋)18200
10037||1,CL00446,人工关节(全髋)(0+#48#26/0)
10038||1,CL00611,人工关节(全髋)12000
10039||1,CL00962,人工关节(全髋)10000
1003||1,XY00846,甲氧苄啶注射液[2ml:0.1g]
10040||1,CL00981,人工关节(全髋)(2#)
10041||1,CL01051,人工关节(全髋)12500
10042||1,331507#70,人工关节(全髋)15000
10043||1,CL01198,人工关节(全髋)16800
10044||1,CL01356,人工关节(全髋)17000
10045||1,CL01497,人工关节(全髋)29800
10046||1,331507#71,人工关节(全髋)13000
10047||1,CL01856,人工关节(全髋)11800
10048||1,CL02063,人工关节(全髋)13800
10049||1,331507#72,人工关节(全髋)(60#小球头28S)
1004||1,XY00722,胱氨酸片[50mg*100片]111111
10050||1,331507#73,人工关节(全髋)(50#10#28/0)
10051||1,CL02394,人工关节(膝)(Small66mmleft)
10052||1,CL02432,人工关节(膝)(8#)
10053||1,CL03294,人工关节(膝)(胫骨平台*)
10054||1,CL00237,人工晶体200
10055||1,CL00268,人工晶体400
10056||1,CL00269,人工晶体3360
10057||1,CL00320,人工晶体286
10058||1,CL00396,人工晶体495
10059||1,330406008#1,人工晶体(4#-32#)1995
1005||1,XY01271,齐墩果酸片[20mg*100片]作废
10060||1,CL00504,人工晶体3000
10061||1,330406008#2,人工晶体(4#-32#)1078
10062||1,CL01436,人工晶体4200
10063||1,CL01479,人工晶体3465
10064||1,330406008#3,人工晶体(1#-32#)4305
10065||1,330406008#6,人工晶体(5#-25#)88
10066||1,CL00986,人工膝关节8925
10067||1,CL01500,人工膝关节29800
10068||1,CL01532,人工膝关节22500
10069||1,CL01541,人工膝关节17000
1006||1,XY00729,果糖二磷酸钠粉针(德贝)1[5g]
10070||1,CL01629,人工膝关节11000
10071||1,CL01630,人工膝关节13000
10072||1,CL01745,人工膝关节18000
10073||1,CL02173,人工膝关节15000
10074||1,CL02723,人工膝关节16000
10075||1,CL03223,人工膝关节29000
10076||1,CL03224,人工膝关节17400
10077||1,CL03336,人工膝关节26000
10078||1,CL03401,人工膝关节(标准型股胫骨托8/)
10079||1,CL01857,人工血管13000
1007||1,XY01779,炎琥宁粉针(笃清)[0.2g]
10080||1,CL00425,人工牙材料4100
10081||1,CL00278,人工椎间盘15000
10082||1,CL00919,人工椎间盘12000
10083||1,CL00982,人工椎间盘12500
10084||1,CL01331,人工椎间盘23000
10085||1,CL01332,人工椎间盘11000
10086||1,CL01499,人工椎间盘4000
10087||1,CL01531,人工椎间盘14000
10088||1,CL01544,人工椎间盘400
10089||1,CL01591,人工椎间盘(2孔)
1008||1,XY00355,单磷酸阿糖腺苷粉针[0.1g]
10090||1,CL01592,人工椎间盘1500
10091||1,CL01659,人工椎间盘26000
10092||1,CL01660,人工椎间盘11800
10093||1,CL01661,人工椎间盘13800
10094||1,CL01670,人工椎间盘30000
10095||1,CL01749,人工椎间盘10000
10096||1,331501057#39,人工椎间盘(椎间融合器)(12*22)
10097||1,CL02025,人工椎间盘4800
10098||1,CL02093,人工椎间盘8600
10099||1,331501057#40,人工椎间盘(椎间融合器)(4mm)
1009||1,XY00737,核黄素磷酸钠粉针[10mg]
100||1,XY00240,比卡鲁胺胶囊(岩列舒)[50mg*30片]
10100||1,CL02243,人工椎间盘(L=25*)
10101||1,331501057#41,人工椎间盘(颈后路钛钉)(FJH-A4.0)
10102||1,CL00445,人工椎间盘(颈前路钢板)6800
10103||1,CL01471,人工椎间盘(颈前路钢板)4000
10104||1,CL01477,人工椎间盘(颈前路钢板)58000
10105||1,CL01478,人工椎间盘(颈前路钢板)12500
10106||1,CL01662,人工椎间盘(颈前路钢板)9600
10107||1,CL01858,人工椎间盘(颈前路钢板)9200
10108||1,CL00276,人工椎体15000
10109||1,CL00277,人工椎体13500
1010||1,XY00744,红花黄色素[50mg]
10110||1,CL00285,人工椎体(10*40.*)
10111||1,CL00316,人工椎体11500
10112||1,CL00333,人工椎体12800
10113||1,CL00350,人工椎体21000
10114||1,CL01692,人工椎体14000
10115||1,CL01705,人工椎体10000
10116||1,CL02139,人工椎体12000
10117||1,CL00668,人工椎体(脊柱内固定器)4200
10118||1,CL00917,人工椎体(脊柱内固定器)13000
10119||1,331501004#29,人工椎体(脊柱内固定器)16000
1011||1,XY01556,(限抗)头孢孟多酯粉针[0.5g]
10120||1,331501004#30,人工椎体(脊柱内固定)(四钉两棒)
10121||1,CL01170,人工椎体(脊柱内固定器)18000
10122||1,CL01324,人工椎体(脊柱内固定器)21000
10123||1,CL01748,人工椎体(脊柱内固定器)8000
10124||1,CL02507,人工椎体(脊柱内固定器)*20000
10125||1,CL02545,人工椎体*16000
10126||1,CL00203,溶栓导线(溶栓导管)2520
10127||1,CL00415,溶栓导线(溶栓导管)869
10128||1,CL00211,融栓导线(融栓导管)2400
10129||1,CL00390,乳化专用刀77
1012||1,XY00750,红霉素粉针[0.25g]
10130||1,330406005#1,乳化专用刀88
10131||1,CL00170,三环注射器120
10132||1,CL00079,三通接头450
10133||1,32#12,三通接头(530BN-R)
10134||1,CL00152,三通接头500
10135||1,CL00200,三通接头580
10136||1,CL00217,三通接头20
10137||1,32#13,三通接头(MAP152)
10138||1,32#14,三通接头(TS*TR2K)
10139||1,32#15,三通接头80
1013||1,XY00752,红霉素软膏[10g]
10140||1,CL00983,三通接头(Y阀)300
10141||1,CL02624,三通接头(Y阀)340
10142||1,310606001#10,生物蛋白胶(0.5ML*5)
10143||1,CL00357,栓塞材料（封堵器）
10144||1,CL01566,栓塞材料16500
10145||1,CL00142,栓塞材料(弹簧圈)1500
10146||1,CL00209,栓塞材料(弹簧圈)12800
10147||1,CL00218,栓塞材料(弹簧圈)9800
10148||1,CL00253,栓塞材料(弹簧圈)8000
10149||1,32#91,栓塞材料(弹簧圈)(QC-1.5-2-HELTX)
1014||1,XY00809,己烯雌酚注射液[1ml*10支]
10150||1,CL00533,栓塞材料(弹簧圈)5400
10151||1,32#110,栓塞材料(弹簧圈)(MWCE-35-5-5)
10152||1,32#134,栓塞材料(弹簧圈)16500
10153||1,32#145,栓塞材料(弹簧圈)(MWCE-18-2-2)
10154||1,32#87,栓塞材料(封堵器)16500
10155||1,32#366,栓塞材料(封堵器)15500
10156||1,32#108,栓塞材料(封堵器)10400
10157||1,CL01706,栓塞材料(封堵器)14700
10158||1,CL00495,栓塞材料(外周弹簧圈)(4*16)
10159||1,CL00497,栓塞材料(外周弹簧圈)(2*4)
1015||1,XY01621,维生素Ｄ3注射液[7.5mg*10支]
10160||1,32#88,栓塞材料(栓塞颗粒)(PVA500UM)
10161||1,32#93,栓塞材料(血管用栓塞材料)(560-710)
10162||1,CL00455,栓塞材料(血管用栓塞材料)16500
10163||1,CL01543,栓塞材料(血管用栓塞材料)1560
10164||1,CL02098,四肢内固定材料(钉)3800
10165||1,QX00000#929,钛夹10
10166||1,CL00916,钛夹(中号)
10167||1,CL00347,特殊材料1600
10168||1,CL00381,特殊材料830
10169||1,CL00382,特殊材料800
1016||1,XY00759,(高危B)华法林钠片[2.5mg*60片]
10170||1,CL00383,特殊材料272
10171||1,CL00384,特殊材料1720
10172||1,CL02889,特殊材料600
10173||1,CL02244,特殊材料(口腔用颌面钛板)(6孔)
10174||1,CL00419,特殊材料(口腔用钛板)800
10175||1,CL00756,特殊材料(口腔用钛板)4500
10176||1,330605005#23,特殊材料(口腔用钛板)830
10177||1,330605005#24,特殊材料(口腔用钛板)1720
10178||1,330605005#25,特殊材料(口腔用钛板)272
10179||1,CL01333,特殊材料(口腔用钛板)6000
1017||1,XY00989,利塞瞵酸钠片[5mg*12片]
10180||1,CL01355,特殊材料(口腔用钛板)1600
10181||1,CL01728,特殊材料(口腔用钛板)2400
10182||1,CL01729,特殊材料(口腔用钛板)4800
10183||1,CL01747,特殊材料(口腔用钛板)1800
10184||1,CL02099,特殊材料(口腔用钛板)5000
10185||1,CL02138,特殊材料(口腔用钛板)300
10186||1,CL02142,特殊材料(口腔用钛板)6600
10187||1,CL00607,特殊材料(钛钉)390
10188||1,2503#1,特殊采血管0.8
10189||1,CL02154,特殊采血管(BP061050支/合)
1018||1,XY01453,双醋瑞因胶囊(安必丁)[50mg*10粒]
10190||1,CL00431,特殊缝线1028
10191||1,CL01893,特殊缝线2385
10192||1,33#60805164,特殊缝线900
10193||1,33#7,特殊缝线1350
10194||1,CL02757,特殊缝线1145
10195||1,CL02811,特殊缝线1248
10196||1,CL03238,特殊缝线1200
10197||1,33#8,特殊缝线(可吸收线)1145
10198||1,33#9,特殊缝线(可吸收线)(1#)
10199||1,CL03393,特殊缝线(微乔)1000
1019||1,XY01501,坦洛新缓释片(积大本特)[0.2mg*14片]
101||1,XY00613,复方磺胺甲恶唑片(抗菌优)[0.48g:80mg*100片]
10200||1,QX00000#1,特殊脐带夹2.75
10201||1,CL01534,体外循环管道360
10202||1,330100017#26,体外循环管道(成人)198
10203||1,311000006#10,透析器(150G)
10204||1,311000006#11,透析器(FX8)
10205||1,311000006#5,透析器(150G)147.4
10206||1,311000006#6,透析器(FX60)
10207||1,311000006#4,透析器(FX8)147.4
10208||1,311000006#080592,透析器(130G)
1020||1,XY01804,依达拉奉(大)注射液1[20ml:30mg]
10214||1,CL00164,外固定材料693
10215||1,CL00165,外固定材料808.5
10216||1,CL00183,外固定材料2800
10217||1,CL01890,外固定材料(弹力绷带)10
10218||1,CL02167,外固定材料(石膏绷带)9
