"dis1","dis2","Count"
"Brunner's腺瘤 (十二指肠腺腺瘤)","肝囊肿",1
"Brunner's腺瘤 (十二指肠腺腺瘤)","结肠良性肿瘤",1
"Brunner's腺瘤 (十二指肠腺腺瘤)","慢性萎缩性胃炎",1
"Brunner's腺瘤 (十二指肠腺腺瘤)","食管的其他特指疾病",2
"B细胞淋巴瘤","2型糖尿病",1
"B细胞淋巴瘤","放射性肺炎",1
"B细胞淋巴瘤","高血压I期",1
"B细胞淋巴瘤","高脂血症",1
"白血病","心肌损害",1
"白血病","药物性肝损害",1
"背部结缔组织良性肿瘤","缺铁性贫血",1
"贲门恶性肿瘤","1型糖尿病",1
"贲门恶性肿瘤","2型糖尿病",12
"贲门恶性肿瘤","2型糖尿病性周围神经病",1
"贲门恶性肿瘤","包裹性脓胸",1
"贲门恶性肿瘤","贲门良性肿瘤",1
"贲门恶性肿瘤","便秘",1
"贲门恶性肿瘤","不完全性肠梗阻",1
"贲门恶性肿瘤","残胃溃疡",1
"贲门恶性肿瘤","残胃吻合口炎",2
"贲门恶性肿瘤","残胃炎",3
"贲门恶性肿瘤","肠道菌群失调",1
"贲门恶性肿瘤","肠梗阻",2
"贲门恶性肿瘤","陈旧性肺结核",1
"贲门恶性肿瘤","陈旧性心肌梗死",2
"贲门恶性肿瘤","大面积脑梗死",1
"贲门恶性肿瘤","大细胞(弥漫性)非霍奇金淋巴瘤",1
"贲门恶性肿瘤","胆囊结石",1
"贲门恶性肿瘤","胆囊结石，伴有其他胆囊炎",1
"贲门恶性肿瘤","胆囊结石伴胆囊炎",1
"贲门恶性肿瘤","胆囊切除术后状态",1
"贲门恶性肿瘤","低蛋白血症",6
"贲门恶性肿瘤","低钠血症",1
"贲门恶性肿瘤","低色素性小红细胞性贫血",1
"贲门恶性肿瘤","动脉硬化性脑病",3
"贲门恶性肿瘤","窦性心动过缓",1
"贲门恶性肿瘤","多发性肝囊肿",1
"贲门恶性肿瘤","多发性结肠息肉",1
"贲门恶性肿瘤","恶病质",1
"贲门恶性肿瘤","反流性食管炎",3
"贲门恶性肿瘤","非胰岛素依赖型糖尿病",1
"贲门恶性肿瘤","肺部感染",4
"贲门恶性肿瘤","肺恶性肿瘤",2
"贲门恶性肿瘤","肺继发恶性肿瘤",8
"贲门恶性肿瘤","肺继发性恶性肿瘤",1
"贲门恶性肿瘤","肺结节病",1
"贲门恶性肿瘤","肺气肿",2
"贲门恶性肿瘤","肺气肿，未特指",1
"贲门恶性肿瘤","肺上叶恶性肿瘤",1
"贲门恶性肿瘤","肺炎",1
"贲门恶性肿瘤","腹股沟淋巴结继发恶性肿瘤",2
"贲门恶性肿瘤","腹膜后继发恶性肿瘤",1
"贲门恶性肿瘤","腹膜后淋巴结继发恶性肿瘤",7
"贲门恶性肿瘤","腹膜后淋巴结肿大",1
"贲门恶性肿瘤","腹膜继发恶性肿瘤",2
"贲门恶性肿瘤","腹腔感染",1
"贲门恶性肿瘤","腹腔继发恶性肿瘤",7
"贲门恶性肿瘤","腹腔继发性恶性肿瘤",2
"贲门恶性肿瘤","腹腔淋巴结继发恶性肿瘤",19
"贲门恶性肿瘤","腹腔淋巴结肿大",2
"贲门恶性肿瘤","腹水",2
"贲门恶性肿瘤","肝恶性肿瘤",1
"贲门恶性肿瘤","肝恶性肿瘤，未特指",1
"贲门恶性肿瘤","肝继发恶性肿瘤",23
"贲门恶性肿瘤","肝继发性恶性肿瘤",3
"贲门恶性肿瘤","肝囊肿",3
"贲门恶性肿瘤","肝血管瘤病",1
"贲门恶性肿瘤","肝炎后肝硬变",1
"贲门恶性肿瘤","肝硬化",2
"贲门恶性肿瘤","肝脏结节",2
"贲门恶性肿瘤","高钾血症",1
"贲门恶性肿瘤","高血压",17
"贲门恶性肿瘤","高血压Ⅱ",4
"贲门恶性肿瘤","高血压Ⅱ期",4
"贲门恶性肿瘤","高血压Ⅲ",1
"贲门恶性肿瘤","高血压Ⅲ期",3
"贲门恶性肿瘤","高血压I期",6
"贲门恶性肿瘤","高血压病",19
"贲门恶性肿瘤","高脂血症",1
"贲门恶性肿瘤","梗阻性黄疸",1
"贲门恶性肿瘤","骨继发恶性肿瘤",2
"贲门恶性肿瘤","冠心病",1
"贲门恶性肿瘤","冠状动脉粥样硬化",1
"贲门恶性肿瘤","冠状动脉粥样硬化性心脏病",6
"贲门恶性肿瘤","后天性肾囊肿",2
"贲门恶性肿瘤","化脓性腹膜炎",1
"贲门恶性肿瘤","回肠溃疡",1
"贲门恶性肿瘤","混合型颈椎病",1
"贲门恶性肿瘤","混合性贫血",2
"贲门恶性肿瘤","基底节脑梗死",1
"贲门恶性肿瘤","急性肝功能衰竭",1
"贲门恶性肿瘤","急性弥漫性腹膜炎",1
"贲门恶性肿瘤","急性上消化道出血",1
"贲门恶性肿瘤","急性失血性贫血",1
"贲门恶性肿瘤","甲状腺结节",1
"贲门恶性肿瘤","结肠恶性肿瘤",1
"贲门恶性肿瘤","结肠瘘",1
"贲门恶性肿瘤","结肠息肉",1
"贲门恶性肿瘤","结肠炎",1
"贲门恶性肿瘤","结肠原位癌",1
"贲门恶性肿瘤","结核性胸腔积液",1
"贲门恶性肿瘤","精神分裂症",1
"贲门恶性肿瘤","颈部淋巴结继发恶性肿瘤",3
"贲门恶性肿瘤","颈椎退行性病变",1
"贲门恶性肿瘤","酒精性肝炎",1
"贲门恶性肿瘤","老年性肺气肿",3
"贲门恶性肿瘤","淋巴结继发恶性肿瘤",1
"贲门恶性肿瘤","慢性肺源性心脏病",1
"贲门恶性肿瘤","慢性浅表性胃炎",1
"贲门恶性肿瘤","慢性失血性贫血",2
"贲门恶性肿瘤","慢性十二指肠球部溃疡",2
"贲门恶性肿瘤","慢性萎缩性胃炎",5
"贲门恶性肿瘤","慢性胃窦炎",2
"贲门恶性肿瘤","慢性胃炎",6
"贲门恶性肿瘤","慢性胃炎，未特指",1
"贲门恶性肿瘤","慢性支气管炎",3
"贲门恶性肿瘤","慢性支气管炎急性发作",1
"贲门恶性肿瘤","慢性阻塞性肺疾病",1
"贲门恶性肿瘤","梅毒",1
"贲门恶性肿瘤","脑梗死",6
"贲门恶性肿瘤","脑梗死个人史",1
"贲门恶性肿瘤","脑梗死后遗症",3
"贲门恶性肿瘤","脑继发恶性肿瘤",2
"贲门恶性肿瘤","脑疝",1
"贲门恶性肿瘤","脑萎缩",1
"贲门恶性肿瘤","颞叶肿瘤",1
"贲门恶性肿瘤","脓胸",1
"贲门恶性肿瘤","皮层下动脉硬化性脑病",1
"贲门恶性肿瘤","皮肤淀粉样变性",1
"贲门恶性肿瘤","贫血",7
"贲门恶性肿瘤","贫血，未特指",1
"贲门恶性肿瘤","前列腺增生",5
"贲门恶性肿瘤","腔隙性脑梗死",3
"贲门恶性肿瘤","青光眼",1
"贲门恶性肿瘤","褥疮",1
"贲门恶性肿瘤","上消化道出血",4
"贲门恶性肿瘤","肾恶性肿瘤",2
"贲门恶性肿瘤","肾恶性肿瘤个人史",1
"贲门恶性肿瘤","肾功能衰竭",1
"贲门恶性肿瘤","肾囊肿(后天性)",1
"贲门恶性肿瘤","肾上腺继发恶性肿瘤",1
"贲门恶性肿瘤","肾盏恶性肿瘤",1
"贲门恶性肿瘤","失血性贫血",1
"贲门恶性肿瘤","失血性休克",1
"贲门恶性肿瘤","十二指肠梗阻",1
"贲门恶性肿瘤","十二指肠息肉",1
"贲门恶性肿瘤","食管白斑",3
"贲门恶性肿瘤","食管的其他特指疾病",4
"贲门恶性肿瘤","食管恶性肿瘤",3
"贲门恶性肿瘤","食管恶性肿瘤个人史",2
"贲门恶性肿瘤","食管疾病，未特指",1
"贲门恶性肿瘤","食管疾患",1
"贲门恶性肿瘤","食管继发恶性肿瘤",1
"贲门恶性肿瘤","食管良性肿瘤",1
"贲门恶性肿瘤","食管胃吻合口狭窄",2
"贲门恶性肿瘤","食管胃吻合口炎",1
"贲门恶性肿瘤","食管炎",3
"贲门恶性肿瘤","食管原位癌",1
"贲门恶性肿瘤","室上性心动过速",1
"贲门恶性肿瘤","手术后恶性肿瘤化学治疗",1
"贲门恶性肿瘤","手术后切口感染",2
"贲门恶性肿瘤","糖耐量异常",2
"贲门恶性肿瘤","糖尿病",5
"贲门恶性肿瘤","特指部位继发性恶性肿瘤",1
"贲门恶性肿瘤","头、面和颈淋巴结继发性和未特指恶性肿瘤",1
"贲门恶性肿瘤","胃窦恶性肿瘤",1
"贲门恶性肿瘤","胃溃疡",3
"贲门恶性肿瘤","胃体恶性肿瘤",1
"贲门恶性肿瘤","胃息肉",7
"贲门恶性肿瘤","胃炎",1
"贲门恶性肿瘤","稳定性心绞痛",1
"贲门恶性肿瘤","下肢静脉曲张",1
"贲门恶性肿瘤","心包积液",1
"贲门恶性肿瘤","心动过缓",1
"贲门恶性肿瘤","心律失常",8
"贲门恶性肿瘤","胸膜继发恶性肿瘤",1
"贲门恶性肿瘤","胸腔积液",3
"贲门恶性肿瘤","腰椎间盘突出",1
"贲门恶性肿瘤","胰腺继发恶性肿瘤",1
"贲门恶性肿瘤","乙型肝炎小三阳",1
"贲门恶性肿瘤","阴道恶性肿瘤",1
"贲门恶性肿瘤","疣状胃炎",3
"贲门恶性肿瘤","真性红细胞增多症",2
"贲门恶性肿瘤","支气管扩张",1
"贲门恶性肿瘤","支气管哮喘，非危重",1
"贲门恶性肿瘤","脂肪肝",1
"贲门恶性肿瘤","直肠息肉",1
"贲门恶性肿瘤","痔",1
"贲门恶性肿瘤","肿瘤化学治疗疗程",1
"贲门恶性肿瘤","重度贫血",1
"贲门恶性肿瘤","蛛网膜囊肿",1
"贲门恶性肿瘤","子宫切除术后状态",1
"贲门恶性肿瘤","自发性腹膜炎",1
"贲门恶性肿瘤","纵隔淋巴结继发恶性肿瘤",5
"贲门恶性肿瘤","阻塞性肺气肿",2
"贲门良性肿瘤","2型糖尿病",1
"贲门良性肿瘤","胆囊息肉",1
"贲门良性肿瘤","低钠血症",1
"贲门良性肿瘤","多发性结肠息肉",1
"贲门良性肿瘤","反流性食管炎",1
"贲门良性肿瘤","高血压I期",1
"贲门良性肿瘤","高血压病",2
"贲门良性肿瘤","高脂血症",2
"贲门良性肿瘤","高脂血症，未特指",1
"贲门良性肿瘤","骨关节病",1
"贲门良性肿瘤","冠状动脉粥样硬化性心脏病",1
"贲门良性肿瘤","后天性食管憩室",1
"贲门良性肿瘤","甲状腺机能亢进症",1
"贲门良性肿瘤","结肠息肉",1
"贲门良性肿瘤","慢性浅表性胃炎",8
"贲门良性肿瘤","慢性失血性贫血",2
"贲门良性肿瘤","慢性萎缩性胃炎",4
"贲门良性肿瘤","慢性胃窦炎",2
"贲门良性肿瘤","慢性胃炎",4
"贲门良性肿瘤","慢性胃炎，未特指",1
"贲门良性肿瘤","慢性咽炎",1
"贲门良性肿瘤","慢性支气管炎",1
"贲门良性肿瘤","糜烂性胃炎",2
"贲门良性肿瘤","贫血",1
"贲门良性肿瘤","十二指肠球部息肉",1
"贲门良性肿瘤","十二指肠息肉",1
"贲门良性肿瘤","十二指肠炎",2
"贲门良性肿瘤","食管白斑",12
"贲门良性肿瘤","食管的其他特指疾病",1
"贲门良性肿瘤","食管良性肿瘤",7
"贲门良性肿瘤","食管炎",1
"贲门良性肿瘤","食管肿物",1
"贲门良性肿瘤","双侧感音神经性耳聋",1
"贲门良性肿瘤","胃黄色斑",1
"贲门良性肿瘤","胃良性肿瘤",1
"贲门良性肿瘤","胃息肉",4
"贲门良性肿瘤","胃炎",1
"贲门良性肿瘤","心律失常",1
"贲门良性肿瘤","乙肝表面抗原携带者",1
"贲门良性肿瘤","阴囊良性肿瘤",1
"贲门良性肿瘤","疣状胃(胃窦)炎",1
"贲门良性肿瘤","疣状胃炎",1
"贲门良性肿瘤","支气管哮喘",1
"贲门良性肿瘤","脂肪肝",2
"贲门良性肿瘤","直肠息肉",2
"贲门良性肿瘤","直肠炎",1
"贲门良性肿瘤","子宫切除术后状态",1
"贲门胃底恶性肿瘤","2型糖尿病",1
"贲门胃底恶性肿瘤","残胃炎",1
"贲门胃底恶性肿瘤","陈旧性肺结核",1
"贲门胃底恶性肿瘤","成人呼吸窘迫综合征",1
"贲门胃底恶性肿瘤","低蛋白血症",2
"贲门胃底恶性肿瘤","低钠血症",1
"贲门胃底恶性肿瘤","多发性肝囊肿",1
"贲门胃底恶性肿瘤","多发性脑梗死",1
"贲门胃底恶性肿瘤","肺部感染",1
"贲门胃底恶性肿瘤","腹水",1
"贲门胃底恶性肿瘤","肝恶性肿瘤",1
"贲门胃底恶性肿瘤","肝囊肿",2
"贲门胃底恶性肿瘤","高血压Ⅱ期",1
"贲门胃底恶性肿瘤","高血压Ⅲ期",2
"贲门胃底恶性肿瘤","高血压病",4
"贲门胃底恶性肿瘤","高脂血症",2
"贲门胃底恶性肿瘤","冠状动脉搭桥术后状态",1
"贲门胃底恶性肿瘤","冠状动脉粥样硬化性心脏病",1
"贲门胃底恶性肿瘤","急性失血性贫血",1
"贲门胃底恶性肿瘤","颈动脉闭塞和狭窄",1
"贲门胃底恶性肿瘤","静脉栓塞和血栓形成",1
"贲门胃底恶性肿瘤","慢性肺源性心脏病",1
