ORCATRowId;ORCATApplyBatchPricing;ORCATCode;ORCATCounterTypeDR;ORCATDesc;ORCATDoNotDCOnAdmCancel;ORCATDoNotDCOnAdmDisch;ORCATHrsResultOverdue;ORCATIVExpiry;ORCATIconApptsMade;ORCATIconDisplayAfterExec;ORCATIconName;ORCATIconPriority;ORCATIconResultOverdue;ORCATNoShowIconAfterExcecut;ORCATOCGroupDR;ORCATOrderSeqNo;ORCATPhoneOrderReviewTime;ORCATPrescrExpDays;ORCATPrescrRepeatDays;ORCATQuestionnaireDR;ORCATRepeatInOrder;ORCATShowIconBeforeEndDate
0                                                 ;                                                  ;21                                                ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  
1                                                 ;                                                  ;西药                                                ;                                                  ;西药                                                ;N                                                 ;N                                                 ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;N                                                 ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;N                                                 ;N                                                 
2                                                 ;                                                  ;成药                                                ;                                                  ;成药                                                ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;N                                                 ;                                                  
3                                                 ;                                                  ;检验                                                ;                                                  ;检验                                                ;N                                                 ;N                                                 ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;N                                                 ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;N                                                 ;N                                                 
4                                                 ;                                                  ;一般医疗服务                                            ;                                                  ;一般医疗服务                                            ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;N                                                 ;                                                  
5                                                 ;                                                  ;一般检查治疗                                            ;                                                  ;一般检查治疗                                            ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;N                                                 ;                                                  
6                                                 ;                                                  ;检查                                                ;                                                  ;检查                                                ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;检查&&EXAM                                          ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;N                                                 ;                                                  
7                                                 ;                                                  ;放射治疗                                              ;                                                  ;放射治疗                                              ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;N                                                 ;                                                  
8                                                 ;                                                  ;病理检查                                              ;                                                  ;病理检查                                              ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;N                                                 ;                                                  
9                                                 ;                                                  ;神经系统检查                                            ;                                                  ;神经系统检查                                            ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;N                                                 ;                                                  
10                                                ;                                                  ;内分泌系统检验                                           ;                                                  ;内分泌系统检验                                           ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;N                                                 ;                                                  
11                                                ;                                                  ;眼部检查                                              ;                                                  ;眼部检查                                              ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;N                                                 ;                                                  
12                                                ;                                                  ;处置/治疗                                             ;                                                  ;处置/治疗                                             ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;N                                                 ;                                                  
13                                                ;                                                  ;精神心理卫生检查                                          ;                                                  ;精神心理卫生检查                                          ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;N                                                 ;                                                  
14                                                ;                                                  ;麻醉                                                ;                                                  ;麻醉                                                ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;N                                                 ;                                                  
15                                                ;                                                  ;手术                                                ;                                                  ;手术                                                ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;N                                                 ;                                                  
16                                                ;                                                  ;中草药                                               ;                                                  ;中草药                                               ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;N                                                 ;                                                  
17                                                ;                                                  ;材料                                                ;                                                  ;材料                                                ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;N                                                 ;                                                  
18                                                ;                                                  ;医嘱套                                               ;                                                  ;医嘱套                                               ;N                                                 ;N                                                 ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;N                                                 ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;N                                                 ;N                                                 
19                                                ;                                                  ;输血                                                ;                                                  ;输血                                                ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;N                                                 ;                                                  
20                                                ;                                                  ;病历复印                                              ;                                                  ;病历复印                                              ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;N                                                 ;                                                  
21                                                ;                                                  ;酒精浓度定量分析                                          ;                                                  ;酒精浓度定量分析                                          ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;N                                                 ;                                                  
